Horse Power,Fuel Economy (MPG)
118.7707988,29.34419493
176.3265674,24.6959341
219.2624649,23.95201001
187.3100089,23.38454579
218.5943396,23.42673926
175.8381062,24.17357106
271.4416078,17.16358348
294.4259159,17.27421781
126.2110081,28.71821022
163.3503346,28.28951641
321.840752,17.30062804
120.4842359,29.67863744
155.4153676,27.29492955
191.7148134,23.55672887
211.7291092,25.34189228
259.1831915,20.46737357
236.5717375,23.18528033
191.0989631,24.98962965
123.8856983,29.3933298
136.3064532,31.49742937
212.7389563,23.20474499
232.4499479,22.3130506
122.0401613,31.79661213
140.4323131,28.88208128
243.3478332,21.6233689
178.4302897,23.71958332
258.4242233,21.16734325
231.8549017,24.82982394
91.44026398,31.80670649
119.5366581,30.39261331
350,14.58907857
175.9792193,26.18847756
312.4922095,15.61895639
282.6042464,15.67631564
138.2647325,27.47341504
301.0541818,15.72564969
227.8735033,23.48881057
50,35
152.3478571,27.09441098
252.5523857,20.40757083
218.107081,23.29937173
172.6436613,27.38701207
243.737242,21.44270298
186.0400447,26.89706687
227.6704653,21.20598653
132.6695695,26.77814827
196.8595414,24.35585092
244.3583428,19.53677007
161.4110712,27.54462659
133.8230607,30.67480326
150.5062473,25.34563185
290.8871997,17.87326587
245.8204064,22.84971109
250.7092886,20.2917659
272.9057433,20.89807976
199.1476381,23.01119391
251.4245057,22.96577297
284.9285944,18.87834992
201.62646,22.93765296
173.9393164,25.12965002
230.4626774,20.71572205
289.4900032,20.45016379
220.7209461,23.05917995
212.0830389,21.72625199
188.5052266,23.1141609
181.0679338,25.57508399
245.559651,19.13999943
84.57199234,34.11402465
311.7574323,17.62748039
315.8174983,16.8311881
223.1796492,23.3071922
299.5304577,16.69336865
175.348913,26.05708471
261.8521099,21.05039889
258.3083455,21.26177779
220.0985859,21.58264283
214.484493,22.18309159
320.9513576,15.44171107
258.6598779,20.4706756
236.464449,19.36733689
198.9583149,23.17222305
249.8839965,21.13942912
216.2812058,21.59562606
232.2166071,21.21635929
224.3420783,21.70120173
238.8364896,19.67409397
331.6985946,15.83796845
106.2575575,31.72256556
203.5716544,24.82619915
342.906239,10
237.6730852,19.72346154
205.0467968,25.28695402
227.3801243,24.18110919
131.5421161,29.39756688
260.6744443,17.80270554
162.8105416,27.41866055
266.8696396,15.98994481
243.8312114,19.2533754
140.9598026,29.51559288
184.1230528,25.19609748
