X,Y
-0.361034924,-0.499299226
-1.322429656,0.2006002
0.319851249,0.085714292
-1.751355781,-0.983921052
0.135296723,0.677856766
0.634196371,0.168466618
0.747094648,-1.166185596
1.774966427,1.212678898
0.720013814,1.034261146
1.492523767,0.080220066
-1.156400917,-1.382177217
0.653892952,-0.770855234
0.415987974,0.526910564
0.808940668,1.184638687
0.666015239,0.374321489
-0.40504588,1.447232304
0.540544404,-0.517166525
-0.101922965,-1.322766615
0.798953883,-1.160716241
1.051812241,1.248673477
-0.725214959,-0.553846678
0.250706198,-0.050397497
1.640359708,0.9205155
-0.129636235,0.927485991
0.58393791,-1.179102246
-0.08812381,-0.473206091
0.280393504,0.892069793
-1.358511837,-0.427231718
0.881389882,0.572177506
-0.774655111,0.200890017
0.507806551,0.322147574
1.556217505,0.360010881
-1.381788018,-0.025547989
-0.439403854,0.564129044
0.009373893,-0.635745862
-1.081996058,0.456040508
-0.751295568,0.813348088
1.857814559,2.679717064
0.074118703,-0.224888648
0.914317294,-1.073251621
0.01168515,0.368797721
-1.020758678,-1.539028896
0.951054521,0.449297477
-0.957137043,-0.628385934
0.202152078,0.715419511
-0.568394119,0.400250871
0.771826887,0.444164741
1.071333096,-0.392181852
-0.386975319,-0.125920046
0.112865183,-0.12172195
1.43606968,1.015424357
0.697938112,-0.104339157
-0.062347905,0.341702952
-1.720773813,-1.546196
-0.185822223,-0.260268139
1.674961554,1.648447679
-1.283781948,1.179460164
0.015815811,0.317363153
0.614400293,-0.554277744
-1.365680106,-0.613747073
-0.230360034,-1.139747489
-0.513929978,-1.915781041
-1.603460965,0.586994661
1.140978486,0.574680756
0.165437213,-0.338038441
1.308632437,1.377195411
0.683185787,1.156778218
0.021277541,1.571211946
0.839348007,0.517286491
-0.089094418,-1.319958735
-0.850557459,0.456585295
1.299804388,1.484438247
-0.615976538,0.165846334
1.731459045,0.411002432
-0.600506992,-0.303522318
-0.390157277,-0.043709067
0.472791836,0.705045533
0.103367502,-0.610983916
-1.852724585,-1.378891664
0.703422288,1.359975897
0.450556785,1.237641389
-0.593032045,-1.413714363
-1.040698665,-0.627917738
-1.660321473,0.236471509
0.589380424,-0.16435574
1.178247236,0.362436951
-0.103803948,0.237348026
-0.653212886,0.173970363
-0.738027007,0.71550707
-1.130885042,1.589284124
-0.113265039,-0.970422596
0.6861839,1.168656316
-0.163475798,0.550524696
-0.373421349,-0.446250261
1.490768484,-0.024078741
-0.041506106,0.814892689
0.437458768,-0.808280011
-0.342637771,0.042679609
0.68858044,0.842305546
0.52107492,-0.621895378
4.97053932,5.590245206
4.588951136,6.464850916
5.724184151,3.337990809
4.81085935,5.702926601
