V1,V2,V3,V4,V5
-8.536250517,10.94479141,6.81166683,-5.059278283,-3.186716731
-11.22269976,11.84488582,5.491410332,-5.308275307,-4.855786796
-10.9173738,8.133306137,6.445988473,-5.033128416,-8.411693689
-13.92071692,9.838101014,7.073801944,-6.943140627,-5.553331588
-4.238045681,6.763133538,4.887413033,0.689276307,-6.939081404
-2.055675188,11.28863611,5.108566558,1.503634122,-9.2783124
-2.964994276,9.377786657,7.710977218,2.145461886,-4.552732909
1.592435616,9.154934273,2.530270935,1.9213752,-8.32415063
-6.660643833,-2.073573825,-1.099974377,-2.671214078,-6.067599447
-7.41855421,8.626234719,4.983517736,-5.336243189,-4.181284688
-3.187890972,10.17986082,6.208235589,1.459957115,-8.26869712
-6.871247571,10.33352033,7.141831057,-4.402874798,-7.297067948
-4.705190428,-4.781450281,1.215347837,2.735201223,-3.609391142
-8.839019636,12.83122015,5.082893556,-6.066658517,-6.556261877
1.277411103,-8.713830684,-5.809796826,-0.798092082,-3.15124333
-8.461246133,10.51894488,5.597605298,-4.548865359,-7.204172883
-5.260006093,-11.38981808,6.7137836,0.177496168,3.894841074
-6.048271062,-5.573185117,1.668402545,-0.096040694,-3.336243582
-9.648442883,11.15052363,5.354494808,-9.207263271,-7.030919296
-7.812088872,-1.6921214,0.115246268,-3.182788548,-5.622023578
-2.91283928,11.24785389,5.956616589,1.322694194,-7.393090149
2.075719197,-8.252688277,-4.218861245,-1.867126885,-0.801160751
-5.750120953,-10.53006859,8.169938998,1.268916661,4.478844011
-7.224213497,-7.412573624,6.809059173,2.780552951,4.11806423
-6.604284565,-8.688184593,7.188181419,3.193910136,7.969488209
2.784746012,-5.75371079,-1.753727191,-3.785772338,-1.505545571
-7.285414571,-7.41690235,6.948339014,3.973878885,3.146832025
-7.238877592,-7.603670293,8.662139145,2.165730904,2.834227643
-7.953812817,11.69916422,3.275209224,-6.777706282,-6.274787472
-4.466130404,-4.069689943,2.332827155,-1.304173973,-3.972100308
-2.032547074,6.595945167,6.057951371,3.872779967,-6.313682793
-7.997509079,-3.064571865,-1.504607333,2.261086871,-4.055427125
-3.606349057,-9.392610182,7.63034701,0.474935865,3.3675042
-6.885155147,-3.312498217,0.206962054,0.724650045,-5.842536714
3.452575418,-7.614585225,-2.49665988,-1.710983141,2.333474362
-11.26954366,6.999492314,6.038768191,-5.885731775,-4.981476251
-7.477056813,-2.605776361,-0.449729249,-1.59348653,-3.124312768
-9.390351718,-3.640204823,-1.275310777,0.998122334,-3.799738584
2.904611691,-10.34828363,-2.037855944,-0.66021199,-4.374582461
-8.429053197,-8.58373383,7.457613794,2.754366354,6.531652699
-6.991292869,-7.226781515,0.164836692,-4.462881717,-3.497367179
-6.128559578,-10.40205507,9.240413159,1.630759355,4.363928637
-8.369275976,10.26506281,6.694571091,-7.991122006,-5.621835535
-7.192066535,-3.384930782,0.67738615,-2.825662534,-5.514100955
-5.220615936,-7.680870533,6.238514292,5.673072352,1.506086773
-7.354256396,-9.949576369,7.302089368,-0.364806736,5.00850315
-11.76309496,7.738734771,5.967568479,-6.983733523,-7.589278856
-9.638839904,7.972674769,5.342993892,-7.229626349,-4.907149558
-0.403259515,8.986459921,2.129621903,0.364371932,-8.36850646
-11.51025662,6.791602411,3.727027546,-4.884053927,-6.141951668
-6.664701159,-3.282628438,-0.157704717,-0.235219346,-3.881454645
-9.475529483,11.23877213,5.525083955,-5.415203656,-7.154704641
-8.871175119,9.022494985,6.619417587,-4.510536013,-7.75357031
-0.739623106,7.666974219,5.892071965,2.41801176,-8.436372006
-8.909507776,9.197827281,8.277652329,-8.904596079,-1.956871385
-6.574556896,-8.40356436,6.941291013,1.797483285,4.953098697
-1.770167897,9.147595637,2.471463878,0.706964314,-7.394429046
-7.066671642,8.271838719,8.398675702,-6.612714494,-6.091825891
-5.745582239,-10.95786427,9.19356502,-1.232516296,1.531247432
-9.502930071,-10.72433821,8.64967417,0.596274548,2.900088359
-7.371690044,-6.66864159,2.251997317,1.017370112,-3.006067105
4.780140582,-7.144453143,-4.540868735,-3.163440429,-3.313933173
-10.94071123,7.055486751,9.65145847,-5.911305675,-3.692256836
-3.453410064,9.910866829,8.479110883,2.564519217,-6.696298443
-9.647467454,-10.36411601,8.098526878,0.823634379,3.914648069
-4.183396756,-5.698672064,0.112250719,-1.31201289,-4.575789264
2.207434254,-7.939992623,-5.351363086,-2.164272606,-2.015588649
-5.415194321,-0.478829255,0.655692206,-1.519394705,-4.451952172
-3.057506568,9.987916227,2.805568531,2.777673733,-8.251663588
-11.44504153,10.18474116,5.546487194,-6.284379249,-5.683193905
-5.307313186,-8.322899872,6.758693939,0.96448413,3.106021462
-0.132365367,-5.142058168,-6.024353887,-3.737884813,-1.775164586
0.904444323,9.623626156,3.991965534,4.763120194,-5.079009869
-3.758137608,-9.295158214,7.466504126,2.29085543,5.072801852
-5.012896162,7.856557512,7.131831432,1.471799047,-7.356397551
-4.410513729,-10.3489618,6.337672938,0.616266712,1.656782798
-1.872468257,10.42508951,3.338417201,2.191962463,-8.934433776
-6.872619909,-3.148031889,0.971336535,-1.408977369,-4.266982334
-5.856440676,-2.58216101,-0.295004516,-0.372028748,-4.755132272
1.88190499,-7.604590993,-6.91067394,-2.177665633,0.051289183
-6.618481338,-4.737814649,0.655309423,-1.563252496,-4.130131015
2.848945421,-7.397586466,-8.405886385,-2.64742706,-3.040823408
-5.045353167,-9.863475442,6.558736549,-1.704617134,5.541192821
-10.43378366,8.781800309,6.098016492,-6.813352922,-5.909826084
-6.769165147,-9.614628233,6.425136321,2.85536546,3.227145811
-6.409316648,-11.36105824,4.685624416,0.713354294,5.351938469
1.880142573,-6.806586685,-3.791651459,-0.592626035,-2.373187849
-8.231420561,-4.002131062,-0.177441696,1.653914307,-1.520623565
-2.052523943,9.400097365,4.675776558,3.281040667,-4.723592699
-7.401399694,-7.59461973,9.253985361,1.355343897,3.520339642
-0.262857542,-6.174767586,-7.994659604,-3.77003324,-2.413393583
-2.467661226,9.205334346,4.097744577,1.615429633,-7.566792045
-6.021823732,-2.776747241,1.067436477,-0.406205138,-4.08789069
