Date,GDP
31/03/2000,12.41785383
30/06/2000,13.49424219
30/09/2000,48.58147607
31/12/2000,83.02659613
31/03/2001,47.69899145
30/06/2001,51.64657608
30/09/2001,96.0331462
31/12/2001,70.13671795
31/03/2002,29.65240297
30/06/2002,42.51485081
30/09/2002,3.41455768
31/12/2002,-10.59409356
31/03/2003,-5.340205825
30/06/2003,-68.78285584
30/09/2003,-69.67577163
31/12/2003,-41.55718823
31/03/2004,-48.87360382
30/06/2004,-7.094666404
30/09/2004,-25.0898645
31/12/2004,-22.25844225
31/03/2005,66.64121922
30/06/2005,41.30644221
30/09/2005,64.07746773
31/12/2005,39.33214506
31/03/2006,69.9432577
30/06/2006,90.27306474
30/09/2006,57.77798638
31/12/2006,90.34330018
31/03/2007,56.37329537
30/06/2007,51.65850597
30/09/2007,29.95733469
31/12/2007,77.35610489
31/03/2008,18.27330677
30/06/2008,-17.39362294
30/09/2008,24.01079699
31/12/2008,-28.02109125
31/03/2009,11.66876406
30/06/2009,-33.94260282
30/09/2009,-5.593913837
31/12/2009,47.97068118
31/03/2010,78.4616645
30/06/2010,81.23505675
30/09/2010,89.49805555
31/12/2010,97.42325733
31/03/2011,76.58977606
30/06/2011,99.50389479
30/09/2011,105.0368565
31/12/2011,137.3789054
31/03/2012,109.9797199
30/06/2012,44.87484583
30/09/2012,83.10209923
31/12/2012,51.42209327
31/03/2013,31.68768738
30/06/2013,54.3410575
30/09/2013,59.22216225
31/12/2013,55.78200298
31/03/2014,15.4667361
30/06/2014,37.31884088
30/09/2014,65.89232317
31/12/2014,97.43777846
31/03/2015,78.02064405
30/06/2015,102.3093753
30/09/2015,94.73088826
31/12/2015,105.0456841
31/03/2016,163.8659714
30/06/2016,181.4060007
30/09/2016,144.7525728
31/12/2016,166.0391722
31/03/2017,140.4301632
30/06/2017,102.8228559
30/09/2017,114.0348901
31/12/2017,129.5000644
31/03/2018,77.71508641
30/06/2018,108.1652417
30/09/2018,-2.046453417
31/12/2018,83.04756261
31/03/2019,68.62335089
30/06/2019,67.57396652
30/09/2019,89.9047568
31/12/2019,53.35992742
31/03/2020,114.5082028
30/06/2020,145.878664
30/09/2020,189.3366137
31/12/2020,151.9940943
31/03/2021,153.3404857
30/06/2021,164.9560739
30/09/2021,199.4378788
31/12/2021,179.1696275
31/03/2022,148.1452575
30/06/2022,161.7825355
30/09/2022,137.4269387
31/12/2022,145.265275
31/03/2023,91.05941004
30/06/2023,90.85759662
30/09/2023,83.64447036
31/12/2023,55.9121263
31/03/2024,103.8501811
30/06/2024,111.5755321
30/09/2024,117.7385738
31/12/2024,127.1844719
