datetime,location_name,no_of_people,day_of_week,temperature,rainfall,event_day
2024-06-01 00:00:00,Sydney,3,5,14.811081692323194,0,1
2024-06-01 01:00:00,Sydney,3,5,15.545414689390816,0,1
2024-06-01 02:00:00,Sydney,3,5,15.585101203502246,0,1
2024-06-01 03:00:00,Sydney,3,5,14.263017501875368,1,1
2024-06-01 04:00:00,Sydney,4,5,15.611135561700213,1,1
2024-06-01 05:00:00,Sydney,2,5,14.657349111395472,1,1
2024-06-01 06:00:00,Sydney,3,5,13.54656878945469,0,1
2024-06-01 07:00:00,Sydney,2,5,13.468789292564756,0,1
2024-06-01 08:00:00,Sydney,13,5,18.348270089691546,0,1
2024-06-01 09:00:00,Sydney,12,5,17.554582445301378,0,1
2024-06-01 10:00:00,Sydney,12,5,14.593894648832556,0,1
2024-06-01 11:00:00,Sydney,4,5,14.863913895122732,0,1
2024-06-01 12:00:00,Sydney,11,5,15.741248792783303,0,1
2024-06-01 13:00:00,Sydney,11,5,14.340884832107907,0,1
2024-06-01 14:00:00,Sydney,8,5,16.987617718773674,1,1
2024-06-01 15:00:00,Sydney,7,5,16.262287743017318,1,1
2024-06-01 16:00:00,Sydney,11,5,19.920000824493503,0,1
2024-06-01 17:00:00,Sydney,8,5,19.124555468816556,0,1
2024-06-01 18:00:00,Sydney,8,5,16.652850441236648,0,1
2024-06-01 19:00:00,Sydney,4,5,16.96143557248643,0,1
2024-06-01 20:00:00,Sydney,4,5,15.530603367963952,0,1
2024-06-01 21:00:00,Sydney,3,5,21.141626062472383,0,1
2024-06-01 22:00:00,Sydney,3,5,20.247920946527174,0,1
2024-06-01 23:00:00,Sydney,3,5,18.728925752398663,0,1
2024-06-02 00:00:00,Sydney,2,6,14.113449765576034,0,0
2024-06-02 01:00:00,Sydney,4,6,22.030694370104555,0,0
2024-06-02 02:00:00,Sydney,3,6,21.124411243737065,1,0
2024-06-02 03:00:00,Sydney,3,6,19.845636222164575,0,0
2024-06-02 04:00:00,Sydney,3,6,19.860645262070975,0,0
2024-06-02 05:00:00,Sydney,4,6,16.899966198088002,1,0
2024-06-02 06:00:00,Sydney,4,6,20.479533496370625,1,0
2024-06-02 07:00:00,Sydney,3,6,20.799792433403855,1,0
2024-06-02 08:00:00,Sydney,15,6,15.606561396591054,1,0
2024-06-02 09:00:00,Sydney,10,6,20.603595562360102,0,0
2024-06-02 10:00:00,Sydney,8,6,19.54809536207136,0,0
2024-06-02 11:00:00,Sydney,14,6,17.200383272572438,0,0
2024-06-02 12:00:00,Sydney,10,6,21.304172088002538,1,0
2024-06-02 13:00:00,Sydney,9,6,16.07854873728589,1,0
2024-06-02 14:00:00,Sydney,12,6,20.80885157698499,0,0
2024-06-02 15:00:00,Sydney,14,6,21.263490059627454,1,0
2024-06-02 16:00:00,Sydney,9,6,18.570522049732872,0,0
2024-06-02 17:00:00,Sydney,5,6,21.474547094870537,0,0
2024-06-02 18:00:00,Sydney,13,6,19.73488727487699,0,0
2024-06-02 19:00:00,Sydney,5,6,19.76854569699809,1,0
2024-06-02 20:00:00,Sydney,3,6,17.100680087006772,0,0
2024-06-02 21:00:00,Sydney,4,6,17.87789034884824,0,0
2024-06-02 22:00:00,Sydney,4,6,20.635842191846567,1,0
2024-06-02 23:00:00,Sydney,4,6,21.456846756677805,0,0
2024-06-03 00:00:00,Sydney,3,0,21.948712330273697,0,1
2024-06-03 01:00:00,Sydney,3,0,18.040693782675632,0,1
2024-06-03 02:00:00,Sydney,2,0,21.554046203019208,1,1
2024-06-03 03:00:00,Sydney,2,0,24.14606876334422,0,1
2024-06-03 04:00:00,Sydney,4,0,19.283860267544483,0,1
2024-06-03 05:00:00,Sydney,3,0,22.615311333382838,0,1
2024-06-03 06:00:00,Sydney,3,0,22.67711468730277,0,1
2024-06-03 07:00:00,Sydney,5,0,24.179405811973194,1,1
2024-06-03 08:00:00,Sydney,15,0,20.26988950910071,0,1
