,Feature_1,Feature_2
0,-1.0706498030331617,-1.6080155544374526
1,-1.0912021924199455,-0.32911542193578525
2,-1.1540617139886427,-1.364176603680456
3,-0.9837758746062853,-0.3539379382532634
4,-1.1085065229192101,-1.4955831572360825
5,-1.1543817940376655,-1.5809215766375735
6,-1.1367272999414293,-0.2105370677029356
7,-1.0615178584083627,-0.7332546566036876
8,-0.9976348262452122,-0.07622140685613855
9,-0.9725365794005338,-0.3402158910922388
10,-1.276311648476582,-0.5890613903952349
11,-1.0555378193372356,-1.6755840069620467
12,-1.1803659083590126,0.0030591734498845854
13,-0.8100433284156402,-0.46434987966292995
14,-1.048833044571918,-1.6257022697778676
15,-1.2327702747074036,-0.23128436703409372
16,-1.1942356514740324,-1.3947683388691248
17,-1.0596427754278632,-1.6851269291239095
18,-1.1061623872810347,-1.5676233802095474
19,-1.0839247785038306,-1.7434958363458435
20,-1.0199481063124358,-1.6282433959585987
21,-1.1740201200759672,-1.626184741450575
22,-1.0677984833455334,-1.715515643753745
23,-1.0621631675355268,-0.46528210533776476
24,-0.8422854045204341,-0.6461714628984782
25,-1.0252800372304425,-1.7161101570906505
26,-1.1717789588546215,-0.06306608676646104
27,-1.1493331497066388,-1.5918594682262381
28,-1.0637023593268569,-1.4365184522743522
29,-1.1407466606479726,-1.6039348036916279
30,-0.9128738573097911,-0.39846207686705937
31,-1.1627612982302062,-1.6164707720033216
32,-1.0221347149098694,-1.7098607422584915
33,-1.261262773698687,-0.21024455246842474
34,-1.2998380408948425,-0.2884863021145673
35,-1.0648818775759814,-0.6980039949313359
36,-1.0125895360892878,-0.3495900254472603
37,-1.1696355635713527,-1.5726489791315683
38,-1.0227860698453484,-0.40095609991711917
39,-1.2221784146759194,-1.54578736887906
40,-1.0733477171228216,-0.4077042194500979
41,-0.8421931762871896,-1.4782309025176696
42,-1.0811505944164546,-0.22326528690871034
43,-1.0623717134939683,-0.29853214823188184
44,-1.0512418022312973,-0.6569976280992962
45,-1.0739923052143137,-0.2952566331141202
46,-1.1256683323867807,-1.664094917671018
47,-1.0660963860071322,-1.6824983398377478
48,-1.1064657567618619,-1.5257811881597827
49,-1.034131742387275,-0.7697636617032998
50,-1.1530285883143556,-0.1295118351568071
51,-1.1447653134976468,-1.6479076191907962
52,-1.1631298921568454,-0.363365292340293
53,-1.26790078244232,-0.6165810288080763
54,-0.8375655513873943,-0.17417446764098787
55,-1.093209117089782,-0.3913073693980056
56,-1.0235599733600003,-1.4504838518158756
57,-1.2540316165830787,-1.619940506758298
58,-0.948597539999291,-0.5416602313497998
59,-1.0866215303643347,-1.5511056810407284
60,-1.0615660637441273,-1.65778111848579
61,-1.2383274615499194,-0.362349612496694
62,-0.9941973750481355,-1.664498921110585
63,-1.0092568548101326,-0.2703136425638117
64,-0.9954999039339487,-1.6082921677415039
65,-0.992454909877391,-1.6573354127654238
66,-1.0457215462165947,-0.35462904121759087
67,-0.8488142359614348,-0.31185099491418694
68,-1.1140154849701025,-0.3945865958149078
69,-0.9473011453940475,-1.562011114847332
70,-1.000748791169404,-0.04427355360221936
71,-1.1583018273374313,-0.2320940444636229
72,-1.1491105247222002,-1.776239533770459
73,-1.078956225621149,-1.5491781617657057
74,-1.0685370932801586,-1.568873689495118
75,-1.0507117717771968,-1.6180305052830901
76,-1.0979414173832756,-0.7616304651086196
77,-1.0340091659773016,-1.6458681518866678
78,-1.0544346825724131,-0.24505283085963758
79,-0.9019421546237392,-0.25639740425838314
80,-0.8779055205294883,-0.539242082635783
81,-1.0386373085296146,-1.535823535065983
82,-1.0376418464013168,-0.3530421940069654
83,-1.2225115350143732,-0.5871036233543968
84,-1.062461864468799,-0.6282506610532217
85,-0.9764610672707371,-0.5645983540001153
86,-1.1846376170113921,-1.6487094465081502
87,-0.9653396902760334,-0.4732040817530763
88,-1.0703803200389943,-1.456240105950344
89,-0.8419760917386369,-0.21693940427116193
90,-1.0122382525978948,-1.5331216101662595
91,-1.1309774427404558,-1.549315498952602
92,-1.0837630070955482,-1.3206969050911344
93,-1.125343684391787,-1.7091292169859869
94,-1.1357473428519507,-1.5098830084988248
95,-1.0107008072594388,-0.5072804098266868
96,-1.0995399943659907,-0.21875063377597845
97,-1.1875709058051038,-1.7643046561998597
98,-0.9661013239412862,-0.743954241207599
99,-0.9187557975558248,-1.4884437971297926
100,-1.1082203481758772,-1.6978613154369997
101,-1.0914499821441845,-1.4260502298206852
102,-1.2205758944010305,-0.2532440866300322
103,-1.1719189528645266,-0.4319753706340479
104,-1.125445947032838,-1.485552969428547
105,-1.0807663711218756,-1.7001209897983447
106,-1.1101799246819997,-1.7242439566738597
107,-1.0217060732501226,-1.7419408060369628
108,-0.9622052583424743,-1.5195164608210658
109,-1.1619806296496669,-0.5683108923901963
110,-1.2920518468146758,-0.572274584914181
111,-1.0195395418859625,-0.5788861921750202
112,-1.3010505526502465,-0.3510035363032311
113,-1.1231330534048949,-0.4754409996601202
114,-0.9663666001974088,-0.3693687380861959
115,-1.018849123903167,-0.549176368900764
116,-1.1367350092928998,-1.3923274321906047
117,-1.0468142015173814,-1.5746728848527143
118,-1.0139202088586494,-0.2258857966786846
119,-1.1014899887244614,-1.562120249888056
120,-0.8760896717242453,-0.536966741049151
121,-1.0806296990094526,-0.5634870574913066
122,-1.2515858355832343,-0.29775157704573285
123,-1.1622364307396489,-0.31339683690443476
124,-1.1701449450256256,-0.7119395027137373
125,-1.0013061194657162,-0.4479350552331189
126,-0.9376395015727021,-1.5890240887939706
127,-1.1509632218232206,-0.3693657277395732
128,-1.1097623420603846,-1.2905743078822205
129,-0.9535681717268395,-1.5061268547185063
130,-1.0160796099411433,-0.5094928102512759
131,-1.0846999953555407,-1.7069140202396356
132,-1.05045531373632,-0.3717197661481213
133,-1.0972865902179254,-1.5623944943155295
134,-1.0394107017351553,-0.5139332428835103
135,-1.0038817440221206,-1.8156897409787875
136,-1.0747240393708537,-1.5643165969661876
137,-1.21874131920818,-0.23118882602940236
138,-1.1678514054750415,-1.6758856909109314
139,-1.14462593005358,-0.4921352118580146
140,-1.347967882268151,-1.7295929890569337
141,-1.2175546558020476,-0.44639658555413714
142,-1.1480024444961276,-0.15307788909319076
143,-0.811792402553051,-0.5717430394312738
144,-1.082855832812767,-1.66549334221215
145,-1.2172230553778927,-1.5878450996244355
146,-0.9941856562050985,-0.546981361937184
147,-1.0428970246218037,-1.4763561202656699
148,-0.9942088136638456,-1.6015759203989166
149,-1.2520710390283245,-0.7232169517135738
150,-1.2725514421695336,-0.5798995966808715
151,-1.0708479755011808,-0.5738793803052432
152,-1.1077049767008031,-1.715896332296345
153,-1.1116666518067684,-0.43402944795550985
154,-1.0033915155178097,-0.6604202815382669
155,-1.0620733655436654,-1.4951172175616352
156,-1.022528399076499,-1.5141145545669707
157,-1.2069028328400258,-1.6938877606019587
158,-1.0718685063871882,-1.8392472159988353
159,-1.1297055702965706,-1.733676038917334
160,-1.1073212793828844,-1.6369425550931567
161,-0.904235752544443,-0.3103137540166703
162,-1.018774847454016,-1.5879965588061131
163,-1.0153272188756135,-1.5709485298112658
164,-1.0664405823070966,-1.512511435194076
165,-1.2256778813046738,-1.450761439943886
166,-1.3258220641976413,-0.14474202756334364
167,-0.9521963365482934,0.03966140763904124
168,-1.1427541784477477,-1.5377778649217915
169,-0.8581696958869619,-0.3518146676858513
170,-1.1480932619802633,-0.8062956535221706
171,-1.2235736914852546,-0.7604376737954818
172,-1.071496885674863,-0.5701532088736108
173,-1.1206366832451315,-0.510314768365014
174,-1.238294535088376,-1.6507039935672134
175,-1.087542489493904,-1.4390769198109439
176,-1.0235330609789175,-1.5356730748004541
177,-1.042871544422542,-0.34782267151218094
178,-0.9352971759607466,-0.5744764558396636
179,-1.1237978736296315,-1.5941636463765703
180,-1.158654998589743,-1.7716138772361398
181,-1.080814270481025,-1.4959262021813968
182,-1.0144649068339027,-1.3856284152262044
183,-1.098819679298286,-1.7215212174644206
184,-0.9724540949763201,-1.4970252463471116
185,-1.0312820963756892,-0.3964908348353804
186,-1.1180543551857147,-0.4318200664856848
187,-1.0227581880168917,-1.7526258504193346
