A,B,C,Z
39.87909404,32.87019434,27.90392737,0
18.36072654,19.32200132,43.1504933,1
15.94965199,20.04410756,44.06560799,1
26.5027514,30.39449662,29.06479044,1
17.02031652,13.98520363,47.04641975,1
41.32246419,23.74902245,35.68893186,0
43.39900443,20.35412677,39.21595076,0
38.62635017,30.30379765,30.18471871,0
21.87507997,27.49212917,34.28154382,1
20.43385376,20.50240565,42.26490603,1
24.28170063,30.61530514,29.43978921,1
19.59420173,17.95781442,41.7727047,1
34.066826,40.98157563,19.83242233,0
22.69819863,30.08266582,31.01107768,1
25.35510363,30.81031674,29.83022106,1
28.84621652,40.71996311,18.5578514,1
31.29453225,38.64324052,17.80348081,0
33.64680601,40.2431818,24.38997995,0
30.92265105,39.8701268,20.84902913,0
30.39566127,44.82760733,16.96757566,0
19.41326729,24.80916198,35.51698393,1
41.35785559,26.39431078,32.27756804,0
44.80278981,23.73000007,40.0650028,0
41.49030486,23.42464263,37.32632064,0
45.06877894,20.75206242,41.52192253,0
20.90098452,27.52524757,33.79306169,1
44.81665483,27.11908444,38.19531973,0
25.51018133,26.12332421,34.50042718,1
20.45633998,25.28804732,35.31117139,1
29.39726164,34.17461102,26.35776019,1
31.30921117,31.64812785,25.10075849,1
43.96413133,23.33381456,36.85494546,0
29.50860396,43.71474076,15.77642988,0
21.49452263,24.84682996,37.61885062,1
39.58149031,32.27775311,32.36867565,0
31.87811175,38.66111136,21.29873937,1
32.6522852,37.49690193,21.98765513,1
32.93838661,35.91121071,20.19881249,0
37.80542267,32.25666424,27.75348676,0
13.2416406,13.19571886,49.35392095,1
38.60594197,29.54225601,29.09333168,0
19.20608874,33.6513002,29.67520816,1
21.02138456,22.3173236,38.51512882,1
26.50753167,33.31740547,27.08479772,1
35.79025942,29.73226974,29.92994917,0
10,15.37109354,49.63202661,1
22.65771674,31.00280595,30.51858358,1
20.48423338,24.76106859,36.66363713,1
41.94526538,21.22184734,36.85284635,0
42.51233148,23.41354354,36.21807614,0
31.9813354,34.72848233,22.98692798,0
30.97924822,31.96861178,27.02602586,1
41.3780973,31.60992516,31.27530369,0
24.6593084,23.89006387,35.33639054,1
36.80374614,34.09412085,24.47505711,0
37.73433177,24.81922132,32.98562457,0
38.16664725,28.57877271,32.58818667,0
30.88913228,35.52117709,26.97351408,1
19.52277229,31.13663561,33.71859113,1
38.91716368,28.49374516,29.66890987,0
41.38608318,26.06070357,37.81879732,0
42.58583665,23.09384126,39.46448782,0
35.1491827,35.33320938,24.46665634,0
45.26207603,21.88516433,40.97585809,0
15.89002721,15.49383499,48.55970279,1
39.63175757,32.85808711,31.86150858,0
24.53017444,26.87143168,33.80968252,1
31.50696784,38.12262465,19.61272335,0
18.37108726,17.37527412,45.81403789,1
42.03624786,25.77516586,34.96355751,0
21.60673046,26.85363066,34.59311954,1
38.03276448,34.90220009,25.92097457,0
35.23929049,33.60547855,23.63413115,0
18.50795918,20.10726269,40.74126678,1
18.89204501,16.55239833,44.3300231,1
24.29729513,26.62997428,32.72619368,1
25.83531992,31.26997476,29.40136523,1
21.00161479,21.59815249,37.16299198,1
43.81169585,26.25350897,35.56332822,0
17.44758703,17.93069108,44.40691253,1
22.86964472,22.83110697,38.81108977,1
21.86599279,25.42209943,37.91510315,1
20.02547189,34.70840334,28.94771196,1
36.37357289,32.62701073,25.78072422,0
42.00316556,28.57806962,32.95801911,0
26.37325112,34.67546657,24.06323454,1
24.47763252,31.82375782,28.65416857,1
43.13642691,23.2370889,35.88970676,0
22.06800927,23.13861912,38.82477876,1
19.85776146,26.05842504,35.86632494,1
39.220001,32.33177256,28.45931227,0
21.84972465,27.05936604,37.41105387,1
35.90490451,34.56034232,24.06616526,0
34.23627599,36.65617791,19.87937798,1
33.81316853,39.05389911,19.68395122,0
34.65533557,35.78194689,24.74606788,0
28.62651051,30.99413647,28.30530311,1
47.00307461,23.75822379,42.08588039,0
36.42503695,30.67932263,28.30436734,0
18.4630919,17.99538092,43.14701185,1
43.62039072,23.59521026,35.91150903,0
42.19514452,28.75700697,32.33807355,0
36.53675118,35.62570442,25.16030208,0
37.50119131,29.56407374,30.54604205,0
43.85160072,24.87606735,38.6115771,0
41.72833088,26.62244643,34.9234316,0
23.9190341,32.46357003,28.46991369,1
42.02657859,19.7518114,37.79253946,0
38.63158001,29.47392076,33.07902634,0
25.49947789,36.50610342,23.22130403,1
34.14429075,41.72256345,21.85679681,0
40.01204592,30.0282731,31.52060662,0
36.36312806,33.90454505,30.46962521,0
40.39931069,25.81953195,31.44786021,0
40.06593932,30.57081396,28.1933689,0
20.70945421,36.69597207,27.79374905,1
34.88011626,29.64987406,28.49815719,0
22.82683445,31.2696847,29.59117344,1
29.99295005,35.07017523,20.55272266,0
16.12530155,23.28534892,37.06160008,1
20.08344726,24.35964196,35.7963284,1
38.74428236,27.74733156,30.50054594,0
36.46285982,30.49573636,27.26732658,0
19.06091248,18.2249767,43.52444891,1
22.63946489,29.73230106,32.1977651,1
21.77402403,27.81992216,32.01839778,1
37.22592117,34.38837292,28.25871406,0
17.56000368,17.999038,42.37588245,1
25.75577645,30.2903836,28.73930169,1
43.15295117,24.7346172,38.39795402,0
22.86740855,23.54843535,36.52976665,1
37.43994101,37.17432364,27.36265522,0
23.49871557,25.47431509,34.8811649,1
23.71063542,34.38072899,27.17479072,1
26.95737487,32.55750611,27.54362174,1
22.67247813,22.92724881,38.04509918,1
42.70516772,24.70405407,36.07704615,0
27.29581826,29.79659302,29.84479158,1
18.91140323,25.74193292,38.86333567,1
33.32363787,44.48868154,16.04165791,0
