A,B,C,Z
47.65332707,42.64619755,22.21660641,0
29.04545581,26.00337438,38.07183654,1
43.3415962,41.13181501,19.56379484,0
29.52129282,19.22650578,43.36972667,1
43.61531178,45.8264395,24.11744035,0
24.78271895,31.1374213,18.8933363,0
34.69582019,45.61899657,29.63103564,0
30.94304148,24.46869713,39.40513347,1
26.22491406,42.33959821,29.39196525,0
40.65427294,44.17877642,24.25592737,0
26.39354208,29.41579805,39.30051007,1
36.0513017,24.29735474,38.51342318,1
32.73579371,23.05142915,40.01172828,1
27.46112827,22.14806566,44.1757833,1
32.40275328,21.22637093,40.03308945,1
30.04622936,39.65786601,25.94918724,0
34.31182993,43.05117141,29.30514942,0
29.72645467,26.69539404,40.39789727,1
22.84868931,40.84828721,30.50399422,0
28.8478354,20.77860685,38.98698022,1
22.79306788,39.84865229,29.14170255,0
39.49168909,46.18529731,26.74790112,0
25.2942783,36.38871456,23.59379423,0
22.99139434,37.99197993,26.85609889,0
39.18135527,28.97303152,36.11043029,1
33.4498582,23.14921845,40.63974198,1
34.89434582,43.5825881,25.46261504,0
31.67318884,38.28403978,22.45394544,0
20.29874659,37.61124597,28.81893089,0
38.84457955,42.38848614,24.16684781,0
31.77011233,23.87034634,39.05657914,1
37.45450039,41.42457068,22.17990229,0
20.89518603,16.98632507,46.48680463,1
27.28901112,25.17703231,39.51035403,1
25.66480371,42.55740899,31.75526721,0
30.73465258,35.98081816,20.02316572,0
35.16444807,42.17056529,25.14589885,0
30.77897556,10,49.09399928,1
34.49309539,44.50949607,26.2309433,0
30.25149864,25.18719563,37.18856391,1
29.04327604,42.45862588,28.18665581,0
26.53937462,25.19097221,35.82952213,1
23.10001981,13.7706826,43.81121267,1
35.57203863,41.67466169,24.27609337,0
23.22020642,26.56217618,37.1352531,1
39.49894534,26.52202346,38.85968865,1
30.7940224,36.43202325,21.03389102,0
25.37498103,22.50101075,41.77648814,1
29.78177627,26.3156266,38.05103667,1
16.81125594,30.79807442,25.38197702,0
34.21821098,24.62843003,37.86181314,1
25.65844949,22.2569469,43.10835023,1
44.17716843,32.10789792,32.06516086,1
40.21286308,28.49730857,36.43998148,1
31.18002266,20.83749506,37.66182969,1
27.18738437,34.37553089,20.42734568,0
23.44962848,36.13422864,25.36723255,0
24.67427683,23.15122932,38.39747595,1
24.50736,38.04922914,26.04633889,0
32.13908271,24.8511055,39.78926221,1
30.70533433,20.94283382,43.72368381,1
29.44624936,24.73238967,38.56493846,1
32.86888549,36.74299783,20.57996317,0
29.50016612,47.75784768,31.67094423,0
31.54507578,22.0821164,40.95587914,1
35.1883136,22.46081253,41.12479058,1
30.56145308,22.67108109,39.7202731,1
25.35552229,44.51613611,32.56160138,0
30.2156447,39.70514832,27.24751967,0
32.56431394,21.21490606,41.1524026,1
25.19370003,20.64092824,40.08579061,1
14.84131484,19.02640142,39.72027576,1
36.0348782,29.5721999,35.76753636,1
33.57970288,19.68963239,40.70044272,1
34.81675453,22.81376476,39.17139329,1
37.00967738,38.59761552,20.15529074,0
30.0609584,26.2938951,37.97145072,1
37.19978351,38.51394638,21.46362613,0
28.45972565,22.31823037,43.63892319,1
36.13742835,23.25424842,40.08556447,1
33.38373916,41.88885579,25.21325082,0
30.03504,27.21264373,36.83494281,1
24.21927887,34.99799242,21.48211432,0
32.33531405,21.02763639,38.01284847,1
30.4417724,26.60033962,39.34480674,1
34.72533408,24.23545084,36.84378018,1
30.75978099,43.45414787,27.44049625,0
32.98691365,23.76762516,38.51810645,1
29.09567617,22.85677403,37.59890404,1
34.76182095,29.66039271,34.91310379,1
28.2570011,22.67428619,37.89248095,1
23.89724392,14.87848745,44.76610897,1
33.84321696,20.67503425,42.06957558,1
32.34389546,20.79017401,40.34153746,1
37.71142138,41.89202772,22.21602923,0
45.40520058,39.56998146,17.63004972,0
25.60907884,26.83009067,14.09487813,0
34.62254481,38.15264015,21.74970488,0
28.17841237,23.63871943,39.165069,1
25.84618018,40.24795253,27.54263093,0
28.43699714,24.00871183,39.69605674,1
30.56229317,42.97849127,24.19105668,0
33.52872256,38.16048125,19.30037295,0
30.93871401,25.0673051,41.71812012,1
23.03418249,20.26478797,45.83839971,1
28.88233396,20.88570089,43.85419597,1
30.50606209,23.98626222,39.35552342,0
36.17211321,45.21308615,26.45344694,0
21.66715609,43.54715121,32.13996342,0
34.79303875,43.18600849,25.04230456,0
40.50000537,31.95649444,38.02228145,1
31.23583839,20.60468467,41.42969404,1
28.81505104,30.40986659,17.48014997,0
32.34984208,19.88807281,40.59361953,1
32.5024465,21.08473517,41.04835179,1
39.58628124,42.70863809,23.09063157,0
18.61889586,14.82301019,50,1
23.59472208,37.9029915,26.49998813,0
32.36888725,46.37669233,29.7198882,0
28.19044593,36.12376349,24.61433166,0
39.81789817,27.05637786,37.51498937,1
16.57041068,21.299119,45.67117619,1
27.65812711,24.33302434,39.76846307,1
24.95767831,34.71362544,25.3076037,0
47.05435575,43.19801595,21.46842904,0
23.47921645,34.53721702,24.66819472,0
22.81367455,37.39363885,26.83973211,0
17.11771951,16.8870826,46.60431512,1
29.23488438,23.96682514,40.25560517,1
21.79942649,40.41786786,30.13400877,1
22.31779297,39.43393388,27.38606628,0
28.6900477,19.4666667,38.93855958,1
32.56060006,22.46832836,38.96354633,1
26.82253997,37.91053259,25.71920644,0
22.12925142,36.0774141,28.62149138,0
26.55165394,40.39762827,27.90183315,0
32.44102098,39.98310642,22.78830778,0
33.75612192,22.96101766,43.0058325,1
28.48329026,39.44795227,23.52178559,0
28.09176958,25.28174828,41.21656805,1
22.23126613,39.75736558,31.12765154,0
42.52579562,40.8850181,21.14859031,0
30.82299932,35.54394524,21.01168767,0
18.74308684,17.3802468,41.41385941,1
28.12969817,23.3357678,38.34779016,1
40.24403031,45.39744069,24.95931285,0
31.44205001,28.20159932,37.46611485,1
27.15652218,23.57026677,44.7297588,1
37.41983137,22.37439168,36.47705556,1
38.66076567,18.96399496,40.62279371,1
37.770082,40.66071399,23.40614502,0
32.29097295,39.84739668,22.7918144,0
33.49811061,43.02761023,27.13095333,0
23.69264555,22.00304168,41.90077158,1
23.91153741,18.28791474,41.75436436,1
41.05031968,42.26426375,19.71975458,0
29.594582,46.09351321,33.7558696,0
30.14876568,26.20319037,41.09597256,1
30.88616691,21.53385372,42.89911153,1
13.37553312,37.55674116,31.24227193,0
30.50110544,45.70269661,31.02190807,0
42.43467108,29.21244624,38.16735333,1
38.23806751,22.48236935,39.08259903,1
32.74968504,37.94207032,23.59632765,0
27.09616538,18.97272372,45.43201793,1
39.71609766,25.17218967,36.52879505,1
29.19869565,46.10230362,30.50641722,0
18.24279771,25.18886715,39.68815515,1
29.77304516,41.559162,29.83009322,0
29.98439921,31.73205706,38.52119912,1
32.13530463,22.92946072,41.06679416,1
33.59472109,44.40296151,24.45324002,0
35.57807768,43.13282998,28.24342431,0
37.28292148,36.37449942,16.8004286,0
22.4930274,42.28983661,29.20480509,0
27.91338504,16.96003824,43.6428111,1
39.60642695,42.81158911,23.42430908,0
40.0145137,44.53997708,24.30703272,0
19.35691994,47.4858879,38.40710247,0
27.67081005,34.56581974,23.65218593,0
36.28990391,43.10757854,24.93952294,0
50,43.60655714,16.6809355,0
37.7950078,25.6669387,39.96693823,1
22.24414149,41.66373426,27.52793974,0
30.37038968,38.63439718,27.49721866,0
36.31206585,19.85294636,40.11734197,1
32.50356475,21.24479665,45.40118018,1
30.41386569,21.77631644,42.65978699,1
32.15870099,21.32998634,44.27801189,1
31.9022849,37.99357892,23.06045622,0
31.0929224,23.99877846,38.97399497,1
32.72370816,24.4757047,38.59176295,1
27.96259426,21.47813371,40.32653132,1
32.80589553,25.75095924,41.53211975,1
26.97656217,24.66437584,38.44710356,1
31.52254801,25.61892839,38.92803017,1
24.38919354,18.73552604,41.775638,1
29.45059653,22.49237438,41.7726449,1
37.95966772,23.29404666,37.03113216,1
22.17560244,20.40951093,38.56750248,1
29.22095067,21.81740014,37.64447084,1
21.25764483,18.72195609,39.56892103,1
33.4718808,19.93870587,45.37254554,1
33.55683287,24.90940593,40.67164342,1
32.35715639,43.89700322,25.76559921,0
36.47035675,44.50334576,26.68760182,0
28.66063672,44.73436411,32.53627673,0
31.09076416,46.37059641,33.42193363,0
23.24781099,38.5635345,26.63884786,0
30.60927403,34.46800083,17.51928435,0
28.96484462,34.55605978,20.83156142,0
36.32270113,37.18807906,19.83523204,0
26.57107002,39.69782825,26.37980225,0
44.09988165,50,28.98040639,0
33.51354257,35.61093343,20.93529848,0
33.80194177,39.12487227,21.83795892,0
35.58513216,27.22120911,38.45727786,1
27.03761351,17.90708985,39.83281916,1
38.32923842,32.31821108,10,0
29.43941561,25.81173145,40.36785838,1
25.26984461,41.30761532,30.82338284,0
36.47567669,33.78600996,17.76572681,0
24.65345155,42.13366083,29.7064611,0
48.172714,45.18762904,19.76727219,0
22.69079293,38.65674499,31.0254952,0
38.76870245,37.95034819,19.91374086,0
21.64676993,31.44153328,22.32877674,0
21.07035527,16.88014022,43.39684665,1
36.11849307,35.90635882,17.81242547,0
31.57052979,22.38065656,37.83185141,1
32.79844349,24.45580448,38.17166398,1
31.47070853,35.35998199,18.53318751,0
32.25612868,42.04735842,26.6124544,0
29.19715931,23.95433119,38.97361253,1
37.43743067,45.25777213,28.45230756,0
38.81463879,38.18610815,18.65910294,0
31.29682726,43.66665554,26.65183062,0
30.75466315,26.97725442,34.47351137,1
32.92775407,26.34534593,37.60289759,1
25.43649999,17.03708255,45.38136272,1
39.36291456,43.27707763,21.99258406,0
34.04862282,26.72254916,36.61704595,1
27.43638046,43.05469927,29.4166024,0
37.19162349,20.8837073,44.02413948,1
35.23787617,28.9765134,37.6032294,1
37.48016402,49.86504809,29.43653968,0
30.88798654,26.50933524,36.2193315,1
28.79223901,45.90398128,31.6429267,0
30.38057794,25.80079652,39.20908188,1
26.19897124,46.86977777,33.8033698,0
31.47966867,38.40874331,24.93036811,0
42.79710712,42.95187366,22.43681497,0
33.46765838,45.9635295,27.80558247,0
32.04038096,34.74830188,17.85618708,0
28.67315772,25.55812708,43.93207737,1
26.05698685,35.82404814,22.02475673,0
46.00000368,39.29346068,17.82915661,0
32.13829281,22.81966743,43.02481101,1
36.0940408,30.74422529,13.92197723,0
36.171763,25.12948769,38.9182414,1
24.36155131,23.11765577,39.04278379,1
33.44200164,20.30728977,40.0121813,1
22.01502491,22.82482757,44.63931346,1
36.41850493,46.89662227,28.80022308,0
32.81347544,29.47514719,36.18154898,1
29.85863198,22.76521317,45.74720781,1
40.59252924,19.2941232,43.42893787,1
33.70806802,25.19801117,38.93042207,1
24.68433329,34.08294844,22.41275784,0
29.55870183,36.68350074,21.38375627,0
19.42221147,35.70820861,27.6608351,0
43.35950952,40.75197393,19.29945144,0
34.42278216,36.25831332,18.1876043,0
34.40083191,44.92221795,27.13474933,0
33.18269889,38.90243133,21.852457,0
24.57537119,39.23734576,27.58587542,0
20.15014987,23.16796749,41.01697395,1
36.86647815,39.22645474,23.12706644,0
31.75368514,29.24606938,35.27676193,1
27.85274109,20.18981576,41.17795825,1
24.35723338,16.51965021,47.46734188,1
26.89498976,38.42505743,25.34355261,0
42.57996208,34.75793735,16.86996438,0
33.63441287,43.30409856,25.23196911,0
31.05973644,41.0218852,28.07444264,0
31.778075,27.35834764,39.94539906,1
