A,B,C,Z
40.18196888,39.82817438,43.44946001,0
16.0657694,28.54164702,14.83166962,1
26.0298401,26.77694082,32.93483526,1
31.73155537,21.48314167,40.10635623,0
34.70799087,30.61204235,40.8198454,0
31.16895586,25.25041102,38.75974349,0
38.03716641,33.92182003,43.02442812,0
19.77760208,28.83451223,23.6950433,1
34.98586015,28.67395595,41.60685634,0
37.89250301,39.67657905,41.46421708,0
35.64842599,29.62769945,41.7202541,0
38.13509638,44.90064607,40.5765443,0
28.33384016,15.27373497,38.6109004,0
20.91507425,29.56582876,27.96546524,1
17.56364202,31.13756472,22.72579057,1
36.79008026,37.40872604,41.05001604,0
32.40498735,25.79278713,39.78804994,0
27.21584522,25.11821451,35.34466056,0
23.04181144,28.96302738,22.92433637,1
17.01147823,31.52905272,23.92364833,1
27.05116476,25.85050207,25.82630671,1
19.17811185,27.22384382,23.63819103,1
19.22740005,29.54418641,16.07354826,1
12.11588539,29.79314823,19.42586638,1
27.075558,23.72738448,35.46594349,0
35.64951677,38.10303616,39.84621817,0
33.04269699,38.0217746,37.52186263,0
31.89143187,31.27755973,38.10670747,0
32.48018685,25.75136538,39.85386483,0
24.18452772,29.24887551,25.6184958,1
19.08402346,27.96576058,20.07408594,1
17.30683791,29.07180035,19.55117288,1
31.860396,26.22860166,39.33495997,0
34.7843176,32.85817918,40.36707496,0
33.42654136,32.50436266,39.19332253,0
23.90082481,27.5049222,17.16719867,1
37.51220492,42.66518101,40.42182485,0
23.98416871,23.08893455,32.92270889,0
20.61708317,27.73077328,24.40223009,1
22.90893007,27.80145423,21.48969983,1
34.10865565,29.87008186,40.436289,0
16.30706918,27.93413402,26.27164283,1
31.90815839,29.59124772,38.45712868,0
33.62538849,33.08981237,39.3277521,0
14.72944956,29.66690514,14.50034622,1
21.76003546,28.44595692,21.50607414,1
17.86378566,29.53536157,20.08019223,1
17.00612093,30.4966275,19.45538609,1
30.85059888,31.13886068,37.35810901,0
23.00228114,27.32793255,27.74310684,1
24.24963278,27.52602203,24.55123079,1
29.12593517,32.29824052,35.30758501,0
36.36444454,33.23612435,41.56208062,0
35.98754433,35.85662684,40.57271774,0
22.31539007,29.11639362,30.32180193,1
44.05985681,47.57033759,45.25528929,0
20.79035939,28.5004293,19.00114899,1
18.59936075,29.14031304,25.34669207,1
19.74992368,30.27352584,19.39668925,1
39.89948234,38.9914928,43.52961334,0
37.03459257,35.05815846,41.79969961,0
36.53175567,30.21121547,42.5132412,0
35.98551882,27.16869544,42.66436317,0
19.35686734,28.96418406,23.72713661,1
33.62492104,23.13921711,41.60325578,0
22.52483593,11.79598819,34.26749604,0
19.53320485,28.47437389,26.52786277,1
17.80581471,28.65822266,24.12466459,1
24.1923875,28.35201738,21.60416865,1
37.32273463,37.74302595,41.47306243,0
32.93125804,29.46124647,39.48816387,0
19.99774729,29.37589126,22.63460578,1
15.0391378,30.39644835,19.39652971,1
34.38361952,34.47742508,39.53861698,0
17.76721916,27.87153765,18.65364427,1
33.46889232,25.87539576,40.67090157,0
19.74086034,29.86124416,24.91418779,1
12.61422216,32.10110842,19.81326377,1
35.80398391,24.5335944,43.14074818,0
17.89771918,29.61509276,15.7477199,1
19.99176518,27.14951296,16.88732426,1
