V1,V2,V3,V4,Class
0.12884865179131422,0.25202274670932556,0.2982947973183889,0.9397217865749288,0
0.9404540652627813,0.8740282602472097,0.67397204258572,0.5346817979601387,0
0.4871316979157915,0.3629754372587962,0.07515787316664668,0.7594975715512778,0
0.7574543946035341,0.285568237770085,0.036639909466423926,0.6972121060499966,1
0.823203229620807,0.9790960096260317,0.5212534007626233,0.8147811996391782,1
0.0975975950999789,0.4611922129774598,0.9385574290335571,0.6038401859465365,0
0.7065113135223038,0.15989134007720385,0.6851288274162635,0.22348964693365647,1
0.9730985843145182,0.8885596319246769,0.11935180657503719,0.8610507273892908,1
0.43594886987240467,0.6037428460587004,0.8193791628359542,0.15501098531196733,0
0.15451686777517404,0.8885242529553697,0.051048464251879255,0.3686778785808795,1
0.3734111928111834,0.29564490712601,0.5432005434081615,0.5946571649121413,1
0.4284883744202722,0.6681084410590418,0.6425101981842247,0.0931000266671973,0
0.7926002840751158,0.23964730365331866,0.8841756674931271,0.42506589229981306,0
0.05635606600298171,0.2676198710416937,0.2666819377849976,0.424196704334603,1
0.3398552945684735,0.708460429285927,0.10068141505728434,0.5374868215936195,0
0.13341728200970837,0.39849070929840835,0.9946394284153486,0.26151597949611016,0
0.5101296302700753,0.7104782197865094,0.47746033659525244,0.6557124753990019,0
0.9763132078450744,0.107253547136822,0.6900625082556705,0.8629118607303097,0
0.9194305389071494,0.04637146762351296,0.3798799379539669,0.5502846958487165,0
0.26308838340662966,0.26772801707098404,0.9880571997009694,0.7533580634455971,1
0.5325261376756717,0.6629709316458976,0.4972858801007648,0.7562477772957633,1
0.45960337391299144,0.16789493971340352,0.15221798045846768,0.613665878964636,0
0.7932750901487343,0.9748196844791263,0.9890846506562044,0.987399682113115,0
0.2380628346439383,0.5741945938834635,0.06898208183499355,0.649546166501125,0
0.2736383823847993,0.31480955163720026,0.9353109465105567,0.31504135312102444,0
0.14095328576834731,0.4059709285985741,0.7851670474616467,0.4768813499890644,1
0.887058490628012,0.8026224119947674,0.6169367615687346,0.4216480546736411,0
0.9334639564021794,0.9114837361103354,0.05941060487257266,0.5725811858293316,0
0.4263728096082372,0.3871391979317379,0.8685095616572762,0.6003804722083533,1
0.44645249191075786,0.040544634884598474,0.05873724414475501,0.13083577375894817,1
0.17316970658139708,0.3227775137969785,0.37420292134266187,0.34142022642742176,1
0.568988585766849,0.3713856873759307,0.18058188479981263,0.9694102414214528,0
0.31217113798740626,0.7313879859010455,0.6725522288117132,0.5614331467262241,0
0.7549726682025415,0.894906484228062,0.8446324884041869,0.7638081138722203,1
0.07602545179486808,0.3878308338949108,0.39384728323891793,0.6326975591568638,0
0.38677318506216773,0.13430778403175503,0.2487497907750177,0.6104333059728997,0
0.059894954286298985,0.4103240260505717,0.24010195508876564,0.5447179129734571,0
0.07528854744773672,0.19670098856808638,0.6979466516141295,0.6158855069164841,1
0.1681464727147337,0.006973086779749393,0.6119745472394145,0.3059093865404907,0
0.7626291634246353,0.06856920782391196,0.029283325344100053,0.753402170438814,1
0.0658767565802234,0.334745002169622,0.18896524387925218,0.49801475017848373,1
0.23748267624284702,0.17431413414999775,0.4387899208098881,0.506029808341135,0
0.1026550755802852,0.9372246745548055,0.25098547714952346,0.35306903270136014,0
0.9049723864690533,0.5046672332816742,0.18271877780064416,0.19059127006425136,1
0.43534031138205154,0.3905242429361392,0.7158956338894884,0.026120892279380636,1
0.3289211168139198,0.14312003937285334,0.8667589038928976,0.7829286244613364,1
0.8685629575315108,0.435057001115713,0.8697503526343986,0.4078126252261428,0
