Feature_1,Feature_2,True_Label
-7.459199765093199,6.4797112053476384,3
-8.228070512622056,-6.907257026534853,2
10.114386169272283,-0.047576029447146784,1
-2.9013057761849077,7.550771180066203,0
-6.279020230069298,-7.084147279786722,2
-6.464459282879147,-7.30815150623038,2
-5.766226310713456,7.208251035829123,3
-6.744398778261351,-6.905228648000515,2
1.9708277627716155,1.6172209713874983,1
-7.19203647999911,-6.86706406817053,2
3.023446625621785,-0.7307003250952553,1
-1.3506020440453461,8.19360380984661,0
9.972462272868768,-2.9070498148655224,1
-1.9383071123595832,10.14985176837892,0
-6.734739762703064,-5.842409193953227,2
7.285940053352071,-2.423679032117054,1
-2.581207744633084,10.017819026090345,0
-10.18559418251077,7.782414610919564,3
-8.7395869695055,8.602099365577125,3
-3.6155325970587784,7.818079504117651,0
1.1434599016802482,3.380592775667159,1
-2.300334028047995,7.054616004318546,0
6.081271243867517,2.751295070299572,1
-6.959698921554802,7.244622602211118,3
-9.374048094096644,7.556430906976672,3
-6.682401119962122,-7.090601833686078,2
-7.0071157998616975,-6.128113098984603,2
-7.895367566255012,7.834071989640661,3
-8.5178674375929,8.391079870246827,3
-1.5551958595595479,9.66567737950412,0
-6.896003826259269,-7.151821978842829,2
-1.6966718006585522,10.370526156769145,0
-3.4997339481834384,8.44798839859555,0
-3.837383671951181,9.211147364067445,0
-6.694054254465616,-7.182102186633857,2
-6.999101214584475,-7.333891424296746,2
2.584327847312023,2.5823877126705126,1
0.6237630355841706,2.4818287736087896,1
-8.89768420821893,8.133306306098628,3
-7.65714087846411,7.066736302428092,3
-7.374429601280561,-6.9430030533257705,2
7.9035758541139245,2.0256792880226295,1
-2.728869510890262,9.371398699710069,0
-1.7181656760097033,8.104898673403582,0
-0.36525353372742453,9.648205150516333,0
8.752298119981312,1.3505795850497861,1
4.359058712001027,1.4207456851076745,1
6.418916031450326,-0.8384355456539412,1
-7.236050082489852,-6.826894479429998,2
-9.459461315479416,7.592068457465381,3
-7.8000643068170925,-7.5198980766437975,2
-3.110904235282147,10.86656431270726,0
-9.837154444361085,7.889221583162388,3
-6.620797680916708,-7.24298149985268,2
5.494268775671,6.663596781980448,1
-3.5220287433871738,9.328533460793595,0
-2.409546257965109,8.510810474082122,0
-8.946010589780682,9.05166357403807,3
-6.7396428779913595,-7.442854116925135,2
-10.451668369877142,6.221140579717665,3
-9.459073896756458,9.014739843721399,3
-1.9941623558440904,9.52807207911053,0
-7.20554524505235,-6.85641025761774,2
-8.72298282430683,6.7687925690526525,3
4.017468465030418,4.402097061326621,1
-7.434915113884184,-6.003974371564135,2
-6.560330961762583,-7.710869624410426,2
-9.381095339734902,4.414867723543955,3
4.814384048703149,1.0098856917863315,1
-6.855366377178856,-7.295584651481466,2
4.353529223096556,5.067710463874386,1
-6.761819912096987,-6.494676996332463,2
-6.295736160321367,-6.75289917162534,2
-8.684602458743063,6.506260926528846,3
-3.2395642547698866,9.230744717780297,0
-9.649998519107134,9.484651434991681,3
-1.6956804056830803,7.7834218117643665,0
-7.166458194591388,-7.153539063896143,2
5.6722074719171625,0.5638583019307952,1
-3.3559913411211553,7.499438903512457,0
-6.716560680030211,-7.505666381468598,2
6.200178378858489,3.544033457101432,1
-7.274864418873926,-6.644375414707949,2
-1.3663748085377296,9.766219160885095,0
-10.739011144818878,8.23602050287186,3
-10.668957961745697,6.49323323164121,3
-9.504567188667849,9.58091139882741,3
-8.063746739266719,9.919428583465255,3
3.255755572860146,-1.021525047531389,1
-2.147561598005116,8.369166373593197,0
-8.609008875012126,7.379246773286082,3
-6.614725102193629,-6.159325282946996,2
2.1248353824788464,-1.0623018480285982,1
-6.83633229741482,-6.957948210971987,2
5.47066386617708,0.10195334254934796,1
-9.373747876493747,5.056074038364066,3
-1.68713746305826,10.911079110852269,0
2.186107208608224,3.128428369598909,1
-2.147802017544336,10.55232269466429,0
-7.829555497849541,6.540374140335834,3
4.372302936341707,-0.6149361221077032,1
4.923672199356221,3.6284963702433486,1
8.604920876591482,-1.1213690631263908,1
-8.880313945232365,9.448483678261315,3
-8.310310416572012,6.72105784627557,3
-2.45098890460675,7.871315830367698,0
-3.2245013323127183,9.693883877132997,0
-10.575944437135503,4.684955767554605,3
-4.534340209710358,9.20074044296775,0
-9.359723229554788,6.952516367336336,3
-7.490691095597243,-6.523610378189753,2
-9.998699128391065,7.266269288128328,3
-8.491325383946629,10.269883083391775,3
-8.571767230675555,6.749024569502531,3
-8.322785893676908,7.572748140094436,3
-7.768987315603409,-6.132087437531355,2
2.322552657282894,1.8243562937862319,1
-8.638585106780344,7.914464432308482,3
-7.3856793787813535,-7.707537929208831,2
-6.999789890230337,-7.067519997050745,2
-2.035959998479205,8.94145721554145,0
7.5477882166155,1.9987523364896995,1
-7.168012856435436,-6.502413980363069,2
2.7420471823438564,2.349154150131251,1
-6.981321515039936,9.47857612321333,3
8.395771466468172,2.15840663499017,1
