Date,Price
1/1/2024,100.9934283
1/2/2024,100.7168997
1/3/2024,102.0122768
1/4/2024,105.0583365
1/5/2024,104.5900297
1/8/2024,104.1217558
1/9/2024,107.2801815
1/10/2024,108.8150509
1/11/2024,107.8761021
1/12/2024,108.9612222
1/15/2024,108.0343868
1/16/2024,107.1029273
1/17/2024,107.5868519
1/18/2024,103.7602914
1/19/2024,100.3104557
1/22/2024,99.18588067
1/23/2024,97.16021843
1/24/2024,97.7887131
1/25/2024,95.97266494
1/26/2024,93.14805754
1/29/2024,96.07935508
1/30/2024,95.62780248
1/31/2024,95.76285889
2/1/2024,92.91336252
2/2/2024,91.82459707
2/5/2024,92.04644225
2/6/2024,89.74445509
2/7/2024,90.49585113
2/8/2024,89.29457375
2/9/2024,88.71118625
2/12/2024,87.50777302
2/13/2024,91.21232939
2/14/2024,91.18533494
2/15/2024,89.06991309
2/16/2024,90.71500291
2/19/2024,88.27331561
2/20/2024,88.6910428
2/21/2024,84.77170255
2/22/2024,82.11533045
2/23/2024,82.50905293
2/26/2024,83.98598609
2/27/2024,84.32872265
2/28/2024,84.09742608
2/29/2024,83.49521869
3/1/2024,80.53817471
3/4/2024,79.0984863
3/5/2024,78.17720875
3/6/2024,80.29145321
3/7/2024,80.97868979
3/8/2024,77.45260947
3/11/2024,78.10077741
3/12/2024,77.33061285
3/13/2024,75.97676885
3/14/2024,77.20012143
3/15/2024,79.26212047
3/18/2024,81.12468071
3/19/2024,79.44624567
3/20/2024,78.82782091
3/21/2024,79.49034778
3/22/2024,81.44143803
3/25/2024,80.48308956
3/26/2024,80.1117716
3/27/2024,77.89910165
3/28/2024,75.50668841
3/29/2024,77.13174005
4/1/2024,79.84422011
4/2/2024,79.70019987
4/3/2024,81.70726566
4/4/2024,82.43053771
4/5/2024,81.1402982
4/8/2024,81.86308941
4/9/2024,84.93916255
4/10/2024,84.86751047
4/11/2024,87.99679778
4/12/2024,82.75730757
4/15/2024,84.40111258
4/16/2024,84.57520672
4/17/2024,83.97719202
4/18/2024,84.16071357
4/19/2024,80.18557574
4/22/2024,79.74623196
4/23/2024,80.46045711
4/24/2024,83.4162452
4/25/2024,82.37970476
4/26/2024,80.76271755
4/29/2024,79.75920347
4/30/2024,81.5900077
5/1/2024,82.24750992
5/2/2024,81.18798951
5/3/2024,82.21452438
5/6/2024,82.40867948
5/7/2024,84.34596946
5/8/2024,82.94186327
5/9/2024,82.28653898
5/10/2024,81.50232267
5/13/2024,78.57529278
5/14/2024,79.16753333
5/15/2024,79.68964387
5/16/2024,79.69987079
5/17/2024,79.23069652
5/20/2024,76.39995504
5/21/2024,75.55866439
5/22/2024,74.87323536
5/23/2024,73.26868082
5/24/2024,72.9461094
5/27/2024,73.75421111
5/28/2024,77.52658291
5/29/2024,77.87573854
5/30/2024,78.39083932
5/31/2024,78.24194749
6/3/2024,74.40440506
6/4/2024,74.35137731
6/5/2024,74.47183773
6/6/2024,79.39832195
6/7/2024,79.01360002
6/10/2024,79.61669471
6/11/2024,79.54727117
6/12/2024,77.20991509
6/13/2024,79.49556072
6/14/2024,80.99942679
6/17/2024,82.58149068
6/18/2024,80.76271577
6/19/2024,83.56830439
6/20/2024,80.76460227
6/21/2024,81.93831645
6/24/2024,86.31922771
6/25/2024,84.33815506
6/26/2024,83.2055596
6/27/2024,83.40486233
6/28/2024,82.39791102
7/1/2024,79.29658416
7/2/2024,79.43371011
7/3/2024,77.30910268
7/4/2024,78.25628754
7/5/2024,76.41743907
7/8/2024,79.51730788
7/9/2024,77.9508013
7/10/2024,77.30667826
7/11/2024,78.9337127
7/12/2024,76.47198407
7/15/2024,76.92690394
7/16/2024,79.54118944
7/17/2024,76.32622298
7/18/2024,76.69549069
7/19/2024,77.21525628
7/22/2024,78.77890202
7/23/2024,76.3050006
7/24/2024,73.66408738
7/25/2024,74.70797051
7/26/2024,75.30193985
7/29/2024,75.80292555
7/30/2024,76.49582197
7/31/2024,75.13577253
8/1/2024,75.60027993
8/2/2024,76.18642487
8/5/2024,74.75772204
8/6/2024,78.48927106
8/7/2024,79.4369369
8/8/2024,77.05432991
8/9/2024,78.36743712
8/12/2024,76.41807378
8/13/2024,77.99224299
8/14/2024,80.30943415
8/15/2024,78.66806951
8/16/2024,80.59482177
8/19/2024,81.42038362
8/20/2024,83.06450394
8/21/2024,86.85808991
8/22/2024,86.36731368
8/23/2024,84.85984135
8/26/2024,83.08081249
8/27/2024,81.44919192
8/28/2024,81.2949885
8/29/2024,81.97729245
8/30/2024,82.53067405
9/2/2024,84.18504055
9/3/2024,84.21104433
9/4/2024,87.11811248
9/5/2024,86.58879882
9/6/2024,92.02913715
9/9/2024,93.28047185
9/10/2024,91.56615673
9/11/2024,89.42437174
9/12/2024,90.38931657
9/13/2024,89.942391
9/16/2024,91.37039199
9/17/2024,92.31686723
9/18/2024,92.17120941
9/19/2024,90.47762197
9/20/2024,87.44792752
9/23/2024,86.55489762
9/24/2024,88.26769521
9/25/2024,88.6958827
9/26/2024,86.20440514
9/27/2024,86.55076699
9/30/2024,87.32140175
10/1/2024,85.55368688
10/2/2024,85.86113709
10/3/2024,85.97755453
10/4/2024,83.69161393
