ts,forecast
2021-01-01,756.7719840081477
2021-01-02,842.7988038779997
2021-01-03,763.1397096418535
2021-01-04,893.2027622122221
2021-01-05,777.2195199863716
2021-01-06,912.7972650561217
2021-01-07,827.1061889921119
2021-01-08,758.6799807624448
2021-01-09,830.5326260879297
2021-01-10,741.4431763331527
2021-01-11,888.3588573747234
2021-01-12,776.2532115683873
2021-01-13,906.6663565463118
2021-01-14,828.9362264593136
2021-01-15,758.5505441512066
2021-01-16,836.0041056167936
2021-01-17,746.2209367623404
2021-01-18,886.6844571952906
2021-01-19,772.3453339335149
2021-01-20,895.2728691404955
2021-01-21,834.3842688718803
2021-01-22,762.78721117401
2021-01-23,834.8016471912301
2021-01-24,748.3114978914612
2021-01-25,890.0146883000892
2021-01-26,776.2979146449873
2021-01-27,901.9605369267865
2021-01-28,822.1692754060825
2021-01-29,751.6986439584248
2021-01-30,815.2393542960147
2021-01-31,724.6149949918724
